transect_id,transect_name,alongshore_km,year,shoreline_x_m,is_documented_event_year,shoreline_change_since_2015_m,annual_shoreline_rate_m_per_yr,volume_m3_per_m,annual_volume_rate_m3_per_m_per_yr
W3,"Ada Foah (township, updrift)",-3.0,2015,1624.5167955627278,False,-0.0,,-4390.519187336638,
W3,"Ada Foah (township, updrift)",-3.0,2016,1628.0189422674189,False,-3.5021467046910857,-3.5021467046910857,-4422.051379960496,-31.532192623857554
W3,"Ada Foah (township, updrift)",-3.0,2017,1631.11022039275,False,-6.593424830022286,-3.0912781253312005,-4454.2132671260915,-32.161887165595545
W3,"Ada Foah (township, updrift)",-3.0,2018,1636.4451074628148,False,-11.92831190008701,-5.334887070064724,-4498.11860478142,-43.90533765532837
W3,"Ada Foah (township, updrift)",-3.0,2019,1640.5819191009678,False,-16.06512353823996,-4.136811638152949,-4537.139314472307,-39.02070969088709
W3,"Ada Foah (township, updrift)",-3.0,2020,1644.76398676633,False,-20.247191203602142,-4.182067665362183,-4576.998555766116,-39.859241293808736
W3,"Ada Foah (township, updrift)",-3.0,2021,1648.6709068182672,False,-24.15411125553942,-3.906920051937277,-4611.4921322396685,-34.49357647355282
W3,"Ada Foah (township, updrift)",-3.0,2022,1652.1001507004926,False,-27.583355137764784,-3.4292438822253644,-4639.702036811253,-28.209904571584048
W3,"Ada Foah (township, updrift)",-3.0,2023,1656.5812548637168,True,-32.06445930098903,-4.481104163224245,-4681.793311819271,-42.09127500801878
W3,"Ada Foah (township, updrift)",-3.0,2024,1660.7369379654976,False,-36.22014240276985,-4.155683101780824,-4721.246974395835,-39.45366257656406
W3,"Ada Foah (township, updrift)",-3.0,2025,1664.523761346204,False,-40.00696578347629,-3.786823380706437,-4752.379704616717,-31.132730220881967
W2,"West bank, estuary-adjacent",-1.5,2015,1624.5386130586048,False,-0.0,,-4707.3086049668,
W2,"West bank, estuary-adjacent",-1.5,2016,1625.6087198100902,False,-1.0701067514853548,-1.0701067514853548,-4719.680277953985,-12.371672987184866
W2,"West bank, estuary-adjacent",-1.5,2017,1627.527054445298,False,-2.988441386693239,-1.9183346352078843,-4738.0101249690015,-18.32984701501664
